# #Freq. (Hz.), dB Mag., Phase (deg.)
3.940901640403447737e-04,8.757704214235843665e+01,-1.812543360434882231e+02
4.005000757873611187e-04,8.729668957700869214e+01,-1.812747306815218451e+02
4.070142453219438875e-04,8.701633464234548399e+01,-1.812954566807770505e+02
4.136343684063273807e-04,8.673597726075146852e+01,-1.813165194130635314e+02
4.203621683844713762e-04,8.645561735206945286e+01,-1.813379243366815956e+02
4.271993966306776428e-04,8.617525483351948878e+01,-1.813596769977854422e+02
4.341478330055092592e-04,8.589488961961319546e+01,-1.813817830317663891e+02
4.412092863191189912e-04,8.561452162206536798e+01,-1.814042481646560532e+02
4.483855948021186208e-04,8.533415074970278624e+01,-1.814270782145503063e+02
4.556786265841063742e-04,8.505377690836985494e+01,-1.814502790930538083e+02
4.630902801799736631e-04,8.477340000083144389e+01,-1.814738568067451752e+02
4.706224849841281286e-04,8.449301992667230365e+01,-1.814978174586635475e+02
4.782772017727485083e-04,8.421263658219346837e+01,-1.815221672498163912e+02
4.860564232142134127e-04,8.393224986030516277e+01,-1.815469124807086700e+02
4.939621743878321080e-04,8.365185965041621330e+01,-1.815720595528938759e+02
5.019965133110079530e-04,8.337146583832000601e+01,-1.815976149705466582e+02
5.101615314749833501e-04,8.309106830607657912e+01,-1.816235853420582487e+02
5.184593543892913273e-04,8.281066693189104910e+01,-1.816499773816531729e+02
5.268921421350671128e-04,8.253026158998812889e+01,-1.816767979110292401e+02
5.354620899273607008e-04,8.224985215048228326e+01,-1.817040538610198155e+02
5.441714286865887004e-04,8.196943847924414683e+01,-1.817317522732790565e+02
5.530224256192900478e-04,8.168902043776220978e+01,-1.817599003019897737e+02
5.620173848083188321e-04,8.140859788300036826e+01,-1.817885052155950234e+02
5.711586478126434762e-04,8.112817066725060045e+01,-1.818175743985523241e+02
5.804485942768977755e-04,8.084773863798110938e+01,-1.818471153531118034e+02
5.898896425508493501e-04,8.056730163767930719e+01,-1.818771357011176235e+02
5.994842503189408769e-04,8.028685950369012403e+01,-1.819076431858331091e+02
6.092349152400711784e-04,8.000641206804878891e+01,-1.819386456737896935e+02
6.191441755977847598e-04,7.972595915730826732e+01,-1.819701511566597674e+02
6.292146109610343785e-04,7.944550059236132711e+01,-1.820021677531533442e+02
6.394488428556943443e-04,7.916503618825669264e+01,-1.820347037109388566e+02
6.498495354469888087e-04,7.888456575400940096e+01,-1.820677674085881392e+02
6.604193962330305243e-04,7.860408909240501885e+01,-1.821013673575452572e+02
6.711611767496286933e-04,7.832360599979757865e+01,-1.821355122041196921e+02
6.820776732865685421e-04,7.804311626590116191e+01,-1.821702107315036869e+02
6.931717276155407569e-04,7.776261967357451965e+01,-1.822054718618136064e+02
7.044462277299036847e-04,7.748211599859916987e+01,-1.822413046581556273e+02
7.159041085964888522e-04,7.720160500945006277e+01,-1.822777183267152736e+02
7.275483529196232748e-04,7.692108646705916897e+01,-1.823147222188709407e+02
7.393819919175865889e-04,7.664056012457135125e+01,-1.823523258333315766e+02
7.514081061116969704e-04,7.636002572709250558e+01,-1.823905388182978413e+02
7.636298261282241416e-04,7.607948301142974401e+01,-1.824293709736471101e+02
7.760503335133571478e-04,7.579893170582317907e+01,-1.824688322531417555e+02
7.886728615614155540e-04,7.551837152966930944e+01,-1.825089327666607062e+02
8.015006961565405291e-04,7.523780219323553808e+01,-1.825496827824541128e+02
8.145371766280745229e-04,7.495722339736551021e+01,-1.825910927294207227e+02
8.277856966198472461e-04,7.467663483317552675e+01,-1.826331731994074516e+02
8.412497049736117902e-04,7.439603618174071187e+01,-1.826759349495312961e+02
8.549327066268385105e-04,7.411542711377191495e+01,-1.827193889045229582e+02
8.688382635251184257e-04,7.383480728928189762e+01,-1.827635461590915043e+02
8.829699955494092365e-04,7.355417635724124636e+01,-1.828084179803098834e+02
8.973315814583519715e-04,7.327353395522341373e+01,-1.828540158100210249e+02
9.119267598459298522e-04,7.299287970903846201e+01,-1.829003512672632326e+02
9.267593301146882789e-04,7.271221323235549505e+01,-1.829474361507149922e+02
9.418331534647951184e-04,7.243153412631313870e+01,-1.829952824411579684e+02
9.571521538991865398e-04,7.215084197911767205e+01,-1.830439023039580206e+02
9.727203192450537298e-04,7.187013636562900842e+01,-1.830933080915627897e+02
9.885417021919572569e-04,7.158941684693314755e+01,-1.831435123460155694e+02
1.004620421346813248e-03,7.130868296990189492e+01,-1.831945278014842131e+02
1.020960662306046604e-03,7.102793426673852650e+01,-1.832463673868042520e+02
1.037566678745185890e-03,7.074717025450929953e+01,-1.832990442280353136e+02
1.054442793526168438e-03,7.046639043466076657e+01,-1.833525716510288532e+02
1.071593399822671090e-03,7.018559429252174198e+01,-1.834069631840073669e+02
1.089022962263730540e-03,6.990478129679021890e+01,-1.834622325601526711e+02
1.106736018095973379e-03,6.962395089900429923e+01,-1.835183937202020559e+02
1.124737178364752007e-03,6.934310253299679516e+01,-1.835754608150513718e+02
1.143031129114478739e-03,6.906223561433333202e+01,-1.836334482083626369e+02
1.161622632608501782e-03,6.878134953973295751e+01,-1.836923704791751959e+02
1.180516528568805639e-03,6.850044368647127158e+01,-1.837522424245181583e+02
1.199717735435884385e-03,6.821951741176528117e+01,-1.838130790620225525e+02
1.219231251649110712e-03,6.793857005213952505e+01,-1.838748956325304391e+02
1.239062156947915577e-03,6.765760092277302817e+01,-1.839377076027001010e+02
1.259215613694150996e-03,6.737660931682654564e+01,-1.840015306676036460e+02
1.279696868215941504e-03,6.709559450474947084e+01,-1.840663807533154284e+02
1.300511252173409829e-03,6.681455573356591060e+01,-1.841322740194883067e+02
1.321664183946605082e-03,6.653349222613948655e+01,-1.841992268619155766e+02
1.343161170046015297e-03,6.625240318041595344e+01,-1.842672559150745997e+02
1.365007806546013683e-03,6.597128776864350641e+01,-1.843363780546506234e+02
1.387209780541621062e-03,6.569014513656983922e+01,-1.844066104000357029e+02
1.409772871628967679e-03,6.540897440261556994e+01,-1.844779703168012475e+02
1.432702953409831009e-03,6.512777465702311019e+01,-1.845504754191387917e+02
1.456005995020648574e-03,6.484654496098080756e+01,-1.846241435722670303e+02
1.479688062686396275e-03,6.456528434572142316e+01,-1.846989928947990904e+02
1.503755321299738400e-03,6.428399181159433340e+01,-1.847750417610676834e+02
1.528214036025870833e-03,6.400266632711091574e+01,-1.848523088034025363e+02
1.553070573933460147e-03,6.372130682796239398e+01,-1.849308129143557835e+02
1.578331405652116590e-03,6.343991221600944641e+01,-1.850105732488705144e+02
1.604003107056819902e-03,6.315848135824304421e+01,-1.850916092263872770e+02
1.630092360979741193e-03,6.287701308571577385e+01,-1.851739405328826535e+02
1.656605958949915148e-03,6.259550619244285485e+01,-1.852575871228349911e+02
1.683550802961202323e-03,6.231395943427236261e+01,-1.853425692211106366e+02
1.710933907269013374e-03,6.203237152772385343e+01,-1.854289073247646229e+02
1.738762400216250364e-03,6.175074114879472376e+01,-1.855166222047493534e+02
1.767043526088946754e-03,6.146906693173370684e+01,-1.856057349075240381e+02
1.795784647002096786e-03,6.118734746778061151e+01,-1.856962667565577760e+02
1.824993244816152391e-03,6.090558130387186964e+01,-1.857882393537188932e+02
1.854676923084697636e-03,6.062376694131099697e+01,-1.858816745805422102e+02
1.884843409033795311e-03,6.034190283440339897e+01,-1.859765945993660807e+02
1.915500555573527823e-03,6.005998738905496026e+01,-1.860730218543305057e+02
1.946656343342263208e-03,5.977801896133338744e+01,-1.861709790722273112e+02
1.978318882784164089e-03,5.949599585599212759e+01,-1.862704892631922178e+02
2.010496416260497063e-03,5.921391632495581092e+01,-1.863715757212302719e+02
2.043197320195270540e-03,5.893177856576683382e+01,-1.864742620245622504e+02
2.076430107255774777e-03,5.864958071999249967e+01,-1.865785720357828268e+02
2.110203428568596575e-03,5.836732087159190030e+01,-1.866845299018187347e+02
2.144526075971667656e-03,5.808499704524216156e+01,-1.867921600536744222e+02
2.179406984302953865e-03,5.780260720462345603e+01,-1.869014872059539982e+02
2.214855233726359396e-03,5.752014925066232820e+01,-1.870125363561456879e+02
2.250880052095461867e-03,5.723762101973277794e+01,-1.871253327836559492e+02
2.287490817355704049e-03,5.695502028181468290e+01,-1.872399020485795518e+02
2.324697059985648094e-03,5.667234473860919053e+01,-1.873562699901904693e+02
2.362508465477944960e-03,5.638959202161065321e+01,-1.874744627251390057e+02
2.400934876860651764e-03,5.610675969013491482e+01,-1.875945066453401466e+02
2.439986297259550199e-03,5.582384522930365023e+01,-1.877164284155354039e+02
2.479672892502160324e-03,5.554084604798448765e+01,-1.878402549705130014e+02
2.520004993764092018e-03,5.525775947668688559e+01,-1.879660135119679296e+02
2.560993100258456608e-03,5.497458276541360078e+01,-1.880937315049844756e+02
2.602647881969004373e-03,5.469131308146793913e+01,-1.882234366741215865e+02
2.644980182427719966e-03,5.440794750721677531e+01,-1.883551569990832206e+02
2.688001021537607393e-03,5.412448303780942638e+01,-1.884889207099522537e+02
2.731721598441376204e-03,5.384091657885294069e+01,-1.886247562819681036e+02
2.776153294436798247e-03,5.355724494404383762e+01,-1.887626924298263589e+02
2.821307675939470957e-03,5.327346485275717924e+01,-1.889027581014791792e+02
2.867196497493769945e-03,5.298957292759335758e+01,-1.890449824714123395e+02
2.913831704832788461e-03,5.270556569188330798e+01,-1.891893949333772866e+02
2.961225437988034351e-03,5.242143956715322872e+01,-1.893360250925530579e+02
3.009390034449721096e-03,5.213719087054958834e+01,-1.894849027571138436e+02
3.058338032378431822e-03,5.185281581222599812e+01,-1.896360579291767579e+02
3.108082173869063970e-03,5.156831049269274558e+01,-1.897895207951041243e+02
3.158635408267819206e-03,5.128367090013106377e+01,-1.899453217151332751e+02
3.210010895543171858e-03,5.099889290767347916e+01,-1.901034912123070626e+02
3.262222009711669788e-03,5.071397227065232016e+01,-1.902640599606771730e+02
3.315282342319423366e-03,5.042890462381846817e+01,-1.904270587727519626e+02
3.369205705980266984e-03,5.014368547853265312e+01,-1.905925185861597981e+02
3.424006137971425789e-03,4.985831021993202938e+01,-1.907604704494987686e+02
3.479697903887691603e-03,4.957277410407461105e+01,-1.909309455073430684e+02
3.536295501355042614e-03,4.928707225506477840e+01,-1.911039749843754976e+02
3.593813663804625805e-03,4.900119966216331591e+01,-1.912795901686156697e+02
3.652267364308175480e-03,4.871515117688539931e+01,-1.914578223937133998e+02
3.711671819475766913e-03,4.842892151009068868e+01,-1.916387030202759831e+02
3.772042493416997554e-03,4.814250522906959162e+01,-1.918222634161979556e+02
3.833395101766601514e-03,4.785589675463030090e+01,-1.920085349359621603e+02
3.895745615775501273e-03,4.756909035819187181e+01,-1.921975488988815925e+02
3.959110266468458469e-03,4.728208015888788651e+01,-1.923893365662496535e+02
4.023505548869293034e-03,4.699486012068725671e+01,-1.925839291173686263e+02
4.088948226294864159e-03,4.670742404953735871e+01,-1.927813576244260219e+02
4.155455334718875619e-03,4.641976559053647122e+01,-1.929816530261880985e+02
4.223044187206672490e-03,4.613187822514206005e+01,-1.931848461004812805e+02
4.291732378422157684e-03,4.584375526842235615e+01,-1.933909674354334243e+02
4.361537789208005771e-03,4.555538986635870913e+01,-1.936000473994454580e+02
4.432478591240400501e-03,4.526677499320705067e+01,-1.938121161098686969e+02
4.504573251759458330e-03,4.497790344892679570e+01,-1.940272034003607757e+02
4.577840538376616412e-03,4.468876785668647500e+01,-1.942453387868969514e+02
4.652299523960188969e-03,4.439936066045542873e+01,-1.944665514324141213e+02
4.727969591600390473e-03,4.410967412269177146e+01,-1.946908701100672658e+02
4.804870439655133628e-03,4.381970032213683908e+01,-1.949183231650796984e+02
4.883022086877879774e-03,4.352943115172725186e+01,-1.951489384751714908e+02
4.962444877628913002e-03,4.323885831663601920e+01,-1.953827434095520630e+02
5.043159487171358993e-03,4.294797333245466575e+01,-1.956197647864672149e+02
5.125186927053332862e-03,4.265676752352884904e+01,-1.958600288292922755e+02
5.208548550577665401e-03,4.236523202146011613e+01,-1.961035611211682692e+02
5.293266058360561639e-03,4.207335776378766212e+01,-1.963503865581804746e+02
5.379361503980697491e-03,4.178113549286345574e+01,-1.966005293010831849e+02
5.466857299720180412e-03,4.148855575493544734e+01,-1.968540127255795937e+02
5.555776222398878077e-03,4.119560889945336868e+01,-1.971108593711681465e+02
5.646141419303672866e-03,4.090228507861234419e+01,-1.973710908885759352e+02
5.737976414214134013e-03,4.060857424714976105e+01,-1.976347279857997989e+02
5.831305113526218976e-03,4.031446616241148462e+01,-1.979017903727863938e+02
5.926151812475552276e-03,4.001995038470337107e+01,-1.981722967047852535e+02
6.022541201461928048e-03,3.972501627794490986e+01,-1.984462645244170460e+02
6.120498372476702517e-03,3.942965301064133854e+01,-1.987237102025052593e+02
6.220048825634711363e-03,3.913384955719137537e+01,-1.990046488777273623e+02
6.321218475812448445e-03,3.883759469954759425e+01,-1.992890943951480835e+02
6.424033659394191159e-03,3.854087702924650927e+01,-1.995770592437058610e+02
6.528521141127847059e-03,3.824368494982561373e+01,-1.998685544927316471e+02
6.634708121092351002e-03,3.794600667964409269e+01,-2.001635897275876346e+02
6.742622241778342337e-03,3.764783025512464576e+01,-2.004621729845217715e+02
6.852291595284057228e-03,3.734914353443244295e+01,-2.007643106848437924e+02
6.963744730628221996e-03,3.704993420160822382e+01,-2.010700075685362549e+02
7.077010661181889518e-03,3.675018977117094465e+01,-2.013792666274257499e+02
7.192118872221192789e-03,3.644989759320566236e+01,-2.016920890380459639e+02
7.309099328602910832e-03,3.614904485895124964e+01,-2.020084740943374015e+02
7.427982482564910414e-03,3.584761860690205992e+01,-2.023284191403350292e+02
7.548799281653431614e-03,3.554560572943670138e+01,-2.026519195030075480e+02
7.671581176779302368e-03,3.524299297998607727e+01,-2.029789684254197084e+02
7.796360130405236531e-03,3.493976698075151432e+01,-2.033095570004006731e+02
7.923168624866253756e-03,3.463591423098316113e+01,-2.036436741049087971e+02
8.052039670825470244e-03,3.433142111582658629e+01,-2.039813063352947040e+02
8.183006815867388886e-03,3.402627391574487348e+01,-2.043224379436711615e+02
8.316104153230962151e-03,3.372045881652110211e+01,-2.046670507756089989e+02
8.451366330684721012e-03,3.341396191984468800e+01,-2.050151242093849362e+02
8.588828559546249353e-03,3.310676925448305497e+01,-2.053666350970151484e+02
8.728526623848370872e-03,3.279886678803792677e+01,-2.057215577073161512e+02
8.870496889654402514e-03,3.249024043928343275e+01,-2.060798636712382859e+02
9.014776314524916914e-03,3.218087609108082603e+01,-2.064415219297261217e+02
9.161402457138520528e-03,3.187075960386192719e+01,-2.068064986843608892e+02
9.310413487069076066e-03,3.155987682967125352e+01,-2.071747573510457130e+02
9.461848194721992136e-03,3.124821362675357506e+01,-2.075462585169957777e+02
9.615746001432095430e-03,3.093575587467135790e+01,-2.079209599012964986e+02
9.772146969725723983e-03,3.062248948993324760e+01,-2.082988163192931097e+02
9.931091813749801447e-03,3.030840044211183937e+01,-2.086797796510729484e+02
1.009262190987047364e-02,2.999347477042629606e+01,-2.090637988142984796e+02
1.025677930744421824e-02,2.967769860076171184e+01,-2.094508197416452049e+02
1.042360673976401239e-02,2.936105816309488503e+01,-2.098407853630911006e+02
1.059314763518369971e-02,2.904353980929194279e+01,-2.102336355932977199e+02
1.076544612842315896e-02,2.872513003124138820e+01,-2.106293073243118954e+02
1.094054707205742438e-02,2.840581547928204031e+01,-2.110277344238076296e+02
1.111849604819271052e-02,2.808558298088308902e+01,-2.114288477390717560e+02
1.129933938033221737e-02,2.776441955953042395e+01,-2.118325751069252760e+02
1.148312414543511094e-02,2.744231245377016393e+01,-2.122388413697529188e+02
1.166989818617147553e-02,2.711924913635857592e+01,-2.126475683977960216e+02
1.185971012337669328e-02,2.679521733346406975e+01,-2.130586751178445013e+02
1.205260936870842549e-02,2.647020504386544104e+01,-2.134720775484406374e+02
1.224864613750930795e-02,2.614420055808835386e+01,-2.138876888416838824e+02
1.244787146187906202e-02,2.581719247741954604e+01,-2.143054193317029501e+02
1.265033720395903824e-02,2.548916973273785658e+01,-2.147251765898328131e+02
1.285609606943295159e-02,2.516012160309875867e+01,-2.151468654865088013e+02
1.306520162124721190e-02,2.483003773400871239e+01,-2.155703882598602945e+02
1.327770829355429116e-02,2.449890815532523192e+01,-2.159956445909572835e+02
1.349367140588306549e-02,2.416672329871736835e+01,-2.164225316856335724e+02
1.371314717753945554e-02,2.383347401462259185e+01,-2.168509443627788471e+02
1.393619274224142113e-02,2.349915158863538167e+01,-2.172807751489614816e+02
1.416286616299198761e-02,2.316374775726436042e+01,-2.177119143792122600e+02
1.439322644719406505e-02,2.282725472299602387e+01,-2.181442503037683593e+02
1.462733356201129965e-02,2.248966516860401299e+01,-2.185776692005472626e+02
1.486524844997857107e-02,2.215097227064607921e+01,-2.190120554930877290e+02
1.510703304486653992e-02,2.181116971209196720e+01,-2.194472918736690872e+02
1.535275028780422671e-02,2.147025169402918010e+01,-2.198832594312886783e+02
1.560246414366369544e-02,2.112821294639650205e+01,-2.203198377841530373e+02
1.585623961771137277e-02,2.078504873769816186e+01,-2.207569052163109689e+02
1.611414277253019750e-02,2.044075488365585969e+01,-2.211943388180354475e+02
1.637624074521687456e-02,2.009532775476007060e+01,-2.216320146295369113e+02
1.664260176485903714e-02,1.974876428268568418e+01,-2.220698077875741490e+02
1.691329517029648705e-02,1.940106196554275186e+01,-2.225075926745090840e+02
1.718839142817145740e-02,1.905221887193697583e+01,-2.229452430693394547e+02
1.746796215127245644e-02,1.870223364382029274e+01,-2.233826323002300285e+02
1.775208011717634149e-02,1.835110549811694725e+01,-2.238196333980543216e+02
1.804081928719382735e-02,1.799883422711541670e+01,-2.242561192504529970e+02
1.833425482562290806e-02,1.764542019762252067e+01,-2.246919627559097705e+02
1.863246311931559748e-02,1.729086434888080959e+01,-2.251270369773479842e+02
1.893552179756295348e-02,1.693516818925608547e+01,-2.255612152947503546e+02
1.924350975230330191e-02,1.657833379170747179e+01,-2.259943715563122453e+02
1.955650715865949255e-02,1.622036378805665535e+01,-2.264263802276447564e+02
1.987459549580983947e-02,1.586126136207961501e+01,-2.268571165385565678e+02
2.019785756819878278e-02,1.550103024144738839e+01,-2.272864566269561237e+02
2.052637752709252084e-02,1.513967468854831466e+01,-2.277142776794318024e+02
2.086024089248502897e-02,1.477719949022851154e+01,-2.281404580680865308e+02
2.119953457536070951e-02,1.441360994649063976e+01,-2.285648774832240235e+02
2.154434690031884619e-02,1.404891185819637300e+01,-2.289874170615063065e+02
2.189476762856620851e-02,1.368311151382025592e+01,-2.294079595092267709e+02
2.225088798128369363e-02,1.331621567530648242e+01,-2.298263892203697480e+02
2.261280066337277225e-02,1.294823156308329182e+01,-2.302425923891537991e+02
2.298059988758851049e-02,1.257916684029116539e+01,-2.306564571167867257e+02
2.335438139906479207e-02,1.220902959628443440e+01,-2.310678735121873331e+02
2.373424250023866214e-02,1.183782832946643815e+01,-2.314767337864616650e+02
2.412028207618006903e-02,1.146557192952033510e+01,-2.318829323409507310e+02
2.451260062033337392e-02,1.109226965909884299e+01,-2.322863658486974714e+02
2.491130026067788633e-02,1.071793113503568939e+01,-2.326869333292128488e+02
2.531648478631355614e-02,1.034256630914317121e+01,-2.330845362164497487e+02
2.572825967447932294e-02,9.966185448658618995e+00,-2.334790784199251448e+02
2.614673211801091940e-02,9.588799116402981326e+00,-2.338704663789592360e+02
2.657201105324503987e-02,9.210418150713630681e+00,-2.342586091100288570e+02
2.700420718837772543e-02,8.831053645211756731e+00,-2.346434182472607972e+02
2.744343303228365463e-02,8.450716928464172994e+00,-2.350248080761159031e+02
2.788980292380439582e-02,8.069419543596659139e+00,-2.354026955603401632e+02
2.834343306151309444e-02,7.687173227914424700e+00,-2.357770003622831609e+02
2.880444153396297807e-02,7.303989892583198973e+00,-2.361476448567046305e+02
2.927294835042815874e-02,6.919881602421354749e+00,-2.365145541382117358e+02
2.974907547214440673e-02,6.534860555851399688e+00,-2.368776560224878267e+02
3.023294684405776478e-02,6.148939065056514330e+00,-2.372368810414889140e+02
3.072468842709003348e-02,5.762129536384028583e+00,-2.375921624328017856e+02
3.122442823092858033e-02,5.374444451036031190e+00,-2.379434361233683717e+02
3.173229634734976018e-02,4.985896346083100283e+00,-2.382906407077938979e+02
3.224842498408442282e-02,4.596497795834553202e+00,-2.386337174214658887e+02
3.277294849923381714e-02,4.206261393595829290e+00,-2.389726101087181576e+02
3.330600343624588733e-02,3.815199733839361507e+00,-2.393072651862816542e+02
3.384772855945983316e-02,3.423325394813643729e+00,-2.396376316022666515e+02
3.439826489022924233e-02,3.030650921610775761e+00,-2.399636607909256725e+02
3.495775574363275268e-02,2.637188809710387716e+00,-2.402853066234470134e+02
3.552634676578139694e-02,2.242951489015306166e+00,-2.406025253550279785e+02
3.610418597173337130e-02,1.847951308389983449e+00,-2.409152755684777389e+02
3.669142378402494298e-02,1.452200520711774523e+00,-2.412235181145943557e+02
3.728821307182833555e-02,1.055711268440906236e+00,-2.415272160495591436e+02
3.789470919074667404e-02,6.584955697131109620e-01,-2.418263345695848443e+02
3.851107002325569045e-02,2.605653049567887569e-01,-2.421208409430488473e+02
3.913745601980384015e-02,-1.380677959669886490e-01,-2.424107044403361044e+02
3.977403024058037001e-02,-5.373921661039401387e-01,-2.426958962616076292e+02
4.042095839796305823e-02,-9.373964132312981867e-01,-2.429763894627035086e+02
4.107840889965647113e-02,-1.338069331174690291e+00,-2.432521588793788112e+02
4.174655289253134671e-02,-1.739399910625783807e+00,-2.435231810500621350e+02
